,mean_fpr,mean_tpr,tprs_lower,tprs_upper
73,0.7373737373737375,0.8831885464623563,0.8224589225869022,0.9439181703378104
74,0.7474747474747475,0.8923636544965912,0.8335571800988453,0.951170128894337
75,0.7575757575757577,0.8981117009093204,0.8400417556954589,0.9561816461231818
76,0.7676767676767677,0.9047545093795095,0.8458918294191275,0.9636171893398915
77,0.7777777777777778,0.9097142857142859,0.8511653019127917,0.9682632695157801
78,0.787878787878788,0.9149523007856343,0.858980957432781,0.9709236441384875
79,0.797979797979798,0.9193434254360184,0.8634274185882254,0.9752594322838115
80,0.8080808080808082,0.9254126360607846,0.8695910553532181,0.9812342167683511
81,0.8181818181818182,0.9319161054994392,0.8835226306120632,0.9803095803868151
82,0.8282828282828284,0.9394893378226713,0.895051296224861,0.9839273794204816
83,0.8383838383838385,0.9457564088860388,0.9011113110586922,0.9904015067133854
